Sex,Branch,Dropper?,Mom's Education,Dad's Education,Study Time?,Hostel?,"At the time of Spardha/Kirti/Manthan, approx. time given per day? (hours)","Time spent outside your room[except classes]? (daily average, in hours)",Attendance?,Relationship status?,Library?,Sleep Duration(Hrs)?,Tut taken seriously,Quiz taken seriously,Midsem taken seriously,Endsem taken seriously,Aiming for branch change,Coaching CitySound,Coaching NameSound,Home CitySound,Dad's JobSound
0,3,0,4,3,1,8,0,2,95,1,1,0,3,5,5,5,2,1,1,1,7
0,5,0,3,3,0,0,5,14,95,1,0,1,3,5,5,5,1,6,2,8,8
0,3,0,4,3,0,2,4,2,95,1,0,1,4,5,5,5,1,5,1,8,4
0,9,0,3,3,0,2,4,2,95,1,0,0,4,5,5,5,5,1,1,8,7
0,5,1,4,3,1,2,0,7,87.5,0,0,1,3,4,5,5,3,6,8,8,7
0,5,0,3,3,0,2,3,10,87.5,1,0,2,1,3,4,4,2,7,1,9,7
1,1,1,1,1,0,4,0,69,50,0,0,-2,1,1,1,1,5,5,8,9,8
0,7,0,2,3,1,8,2,3,87.5,1,1,-1,2,3,3,4,1,5,8,8,7
0,8,0,4,3,0,6,1,2,95,1,1,1,5,5,5,5,5,5,1,8,7
0,9,1,0,3,0,6,4,5,87.5,1,1,0,1,4,4,4,1,6,7,8,7
0,7,0,1,3,1,6,2,2.5,87.5,1,0,1,3,3,5,5,1,6,4,8,7
0,5,1,3,2,0,6,3,2,87.5,0,1,2,3,4,4,4,3,6,2,8,6
0,7,0,3,4,0,6,5,8,87.5,1,0,0,3,4,4,4,3,8,5,8,7
0,3,0,3,4,0,6,0,5,87.5,1,2,0,1,1,4,5,1,5,8,8,6
0,9,1,2,4,1,6,3,2,95,1,1,0,5,5,5,5,1,5,8,8,6
0,9,1,3,3,2,6,2,2,87.5,0,1,0,1,1,5,5,1,5,2,2,7
0,4,1,2,2,0,6,0,6,87.5,1,1,0,1,4,4,5,1,6,2,8,7
0,7,1,2,2,1,6,0,2,87.5,1,1,0,3,5,5,5,1,6,7,8,6
0,4,1,4,4,1,6,9,6,87.5,1,1,0,2,4,4,4,1,6,2,8,2
0,5,1,3,4,0,6,2,15,87.5,1,0,0,3,5,5,5,5,5,2,2,3
0,5,1,0,1,0,6,1.5,1.5,87.5,0,0,0,2,4,5,5,1,5,8,8,6
0,5,1,0,0,0,6,2,4,87.5,0,2,1,1,4,5,5,4,6,8,8,6
0,3,1,4,3,0,6,5,4.5,87.5,1,0,2,1,4,5,5,2,6,4,8,7
0,3,0,2,2,0,6,0,3,87.5,1,0,1,1,1,3,4,1,5,6,8,6
0,4,0,4,4,1,6,4,2,95,1,0,0,4,4,5,5,5,4,8,4,5
0,2,1,3,4,0,6,2,10,87.5,1,0,0,3,5,5,5,1,6,2,8,7
0,5,0,3,3,1,6,0,0.5,87.5,1,1,2,4,5,5,5,4,8,9,7,3
0,4,0,4,3,0,6,0,4,95,1,0,0,2,3,4,4,1,5,1,8,8
0,6,0,3,3,0,6,3,4,87.5,1,0,0,1,1,1,1,1,5,3,5,5
0,3,0,4,4,0,6,1,9,62.5,1,0,1,2,4,3,4,2,7,1,9,4
